,Tag,question
733,c# xml,xpaths default namespaces xpaths default namespaces xpaths default namespaces story behind xpath support namespaces xpath specification precede namespaces document elements give default namespace foo xmlns uri appear though xpath processor libraries win recognize foo namespace whereas others option team think add namespace prefix use regular expressions xpath add namespace prefix via xmlnametable seem brittle since xpath flexible language come node test standard apply approach bite hackish seem work fine remove xmlns declaration searchreplace apply xpath string readyforxpath regexreplace xmldocument xmlns stringempty fair approach anyone solve differently
734,windows performance,good server performance monitor software windows good server performance monitor software windows good server performance monitor software windows look software monitor single server performance alert preferably free reasonable default configuration edit clarify would like run software windows machine monitor remote windows server cpumemoryetc usage alert single application edit suppose necessary software run remotely would also settle something run server email alert seem like windows performance log alert might use purpose somehow immediately obvious edit find neat tool cod horror blog useful remote monitor useful things would worry server admin httpwwwwinsupersitecomshowcasewinvistaffrmonasp
735,c++,gcc issue use member base class depend template argument gcc issue use member base class depend template argument gcc issue use member base class depend template argument follow code compile gcc visual studio template typename class public foo template typename class b public public void bar cout foo endl get error testcpp member function ‘void b bar ’ testcpp 11 error ‘foo ’ declare scope change bar void bar cout this-foo endl compile think something official specs c++ gcc follow quirk
736,c#,host wpf form mfc application host wpf form mfc application host wpf form mfc application look resources host wpf form within exist mfc application anyone point right direction
737,sql-server,version .net framework ship sql server 2008 version .net framework ship sql server 2008 version .net framework ship sql server 2008 sql server 2008 ship .net 35 clr store procedures write clr use 35 feature
738,visual-studio .net,visual studio setup project custom dialog visual studio setup project custom dialog visual studio setup project custom dialog create custom dialog visual studio setup project use step describe combobox one dialogs want populate combobox list sql server instance run local network trivial get server list completely lose make display combobox would appreciate help code might also nice beginner
739,.net asp.net,asp.net proxy application asp.net proxy application asp.net proxy application let try explain need server visible internet need create asp.net application get request web site send internal server get response publish info client totally transparent different reason cannot redirect port internal server know - maybe answer - create new web site host server
740,c++,string lowerupper c++ string lowerupper c++ string lowerupper c++ best way people find string lower case upper case c++ issue complicate fact c++ english program language good multilingual method
741,asp.net performance,speed asp.net web site application speed asp.net web site application speed asp.net web site application ajaxnet enable asp.net 20 web site host site database control database schema test hardware control site perform well however client hardware noticeable delay reload change page would like make application compact speedy possible deliver one idea set expiration date site static resources recall page load resources mean image link style sheet javascript source file easy way ways optimize .net web site update run yslow site areas get hit hardest number javascript style sheet load 23 js file 5 style sheet one main style sheet insert ajaxnet asp many
742,c#,variable bind wpf variable bind wpf variable bind wpf ’ create usercontrol rich treeview one context menus rename nod add child nod etc want able use control manage navigate hierarchical data structure create currently work data structure implement follow interface interface need actually implement however presence members require interface itreeitem string header get set ienumerable children get usercontrol use templates bind tree data structure like textblock x name headertextblock text bind pathheader would like define name members richtreeview allow adapt range different data structure like class myitem string name get set observablecollectionmyitem items uc richtreeview itemsource bind source staticresource myitemsprovider headerproperty name childrenproperty items way expose path bind inside usercontrol public property usercontrol way go solve problem
743,visual-studio .net,list resharper like plugins vs consider list resharper like plugins vs consider list resharper like plugins vs consider license whole tomatoes visual assistx expire really plan renew use spell check refactoring abilities little disappoint jump resharper though thoughts possible plugins
744,php,find unused function php project find unused function php project find unused function php project find unused function php project feature apis build php allow analyse codebase - example reflection tokengetall apis feature rich enough rely third party tool perform type analysis
745,java .net,difference endpoint service port work webservices difference endpoint service port work webservices difference endpoint service port work webservices use apache cxf expose ten java class web service generate clients use cxf axis net axis cxf service locator generate service get port port use make individual call methods expose web service .net service directly expose call web service someone explain difference port service locator endpoint come web service axis patientserviceimplservicelocator locator new patientserviceimplservicelocator patientservice service locatorgetpatientserviceimplport cxf patientserviceimplservice locator new patientserviceimplservice patientservice service locatorgetpatientserviceimplport .net patientserviceimplservice service new patientserviceimplservice
746,c++ performance,overload std swap overload std swap overload std swap std swap use many std containers std list std vector sort even assignment std implementation swap generalize rather inefficient custom type thus efficiency gain overload std swap custom type specific implementation implement use std containers
747,asp.net c#,clear page cache asp.net clear page cache asp.net clear page cache asp.net blog want use output cache save cache version perticular post around 10 minutes thats fine outputcache duration 600 varybyparam however someone post comment want clear cache page refresh comment see asp.net c#
748,language-agnostic,use design pattern use design pattern use design pattern penetration design pattern real world use day day job - discuss apply coworkers - remain academic concept actually provide actual value job something people talk sound smart note purpose question ignore simple design pattern like singleton talk design code take advantage model view controller etc
749,sql performance database,good resources relational database design good resources relational database design good resources relational database design look booksitetutorial best practice relational database design tune performance etc turn kind resource bite difficult find lot normalization er diagram much way real examples anyone ideas
750,sql-server,kill current connections sql server 2005 database kill current connections sql server 2005 database kill current connections sql server 2005 database want rename database keep get error get exclusive lock database imply connection still active kill connections database rename
751,c#,important functional differences c# vb.net important functional differences c# vb.net important functional differences c# vb.net certainly difference general syntax critical distinctions exist differences right
752,c++,case-insensitive string comparison c++ case-insensitive string comparison c++ case-insensitive string comparison c++ best way case-insensitive string comparison c++ without transform string uppercase lowercase please indicate whether methods unicode-friendly portable
753,mysql,kind non text interface mysql kind non text interface mysql kind non text interface mysql mysql query return result single column integers way get mysql c api transfer actually integers rather ascii text matter way get mysql api stuff ascii text think would save bite time sprintfsscanf whatever else use well bandwidth
754,windows,intercept cancel auto play application intercept cancel auto play application intercept cancel auto play application develop application install large number data file multiple dvds application prompt user insert next disk however windows automatically try open disk either explorer window ask user new disk intercept cancel auto play message application
755,.net,configurable table prefix .net orm configurable table prefix .net orm configurable table prefix .net orm web application like wiki forums blogging software often useful store data relational database since many host company offer single database host plan additional databases cost extra useful users database object table view constraints store procedures common prefix typical applications aware database scarcity hard-coded table prefix want however specifically like table prefix users designate — say webconfig file appropriate default course since hate cod crud operations hand prefer work competent orm use enjoy linq sql subsonic adonet thrash new project however come put table prefix user webconfig file net-based orm products handle scenario elegantly best able come far use linq sql external map file update somehow base as-yet hypothetical webconfig set anyone better solution try make happen entity framework turn mess quickly due unfamiliarity ef possibly subsonic option apply table prefix besides code generation time
756,.net,best way persist data .net web service best way persist data .net web service best way persist data .net web service web service query data json file want web service access file every time think maybe store data somewhere else maybe memory web service get data next time try query data kinda understand need sure actually persist data web service update suggestions cache use static variables look good maybe use look one first use second one either look json file
757,.net c#,bad password cause pad invalid cannot remove bad password cause pad invalid cannot remove bad password cause pad invalid cannot remove need simple string encryption write follow code great deal inspiration create initialize crypto algorithm private static symmetricalgorithm getalgorithm string password symmetricalgorithm algorithm rijndaelcreate rfc2898derivebytes rdb new rfc2898derivebytes password new byte 0x530x6f0x640x690x750x6d0x20 salty goodness 0x430x680x6c0x6f0x720x690x640x65 algorithmpadding paddingmodeiso10126 algorithmkey rdbgetbytes 32 algorithmiv rdbgetbytes 16 return algorithm encryptstring provide simple encryption string give password public static string encryptstring string cleartext string password symmetricalgorithm algorithm getalgorithm password byte clearbytes systemtextencodingunicodegetbytes cleartext memorystream ms new memorystream cryptostream cs new cryptostream ms algorithmcreateencryptor cryptostreammodewrite cswrite clearbytes 0 clearbyteslength csclose return converttobase64string mstoarray decryptstring provide simple decryption string give password public static string decryptstring string ciphertext string password symmetricalgorithm algorithm getalgorithm password byte cipherbytes convertfrombase64string ciphertext memorystream ms new memorystream cryptostream cs new cryptostream ms algorithmcreatedecryptor cryptostreammodewrite cswrite cipherbytes 0 cipherbyteslength csclose return systemtextencodingunicodegetstring mstoarray code appear work fine except decrypt data incorrect key get cryptographicexception - pad invalid cannot remove - csclose line decryptstring example code string password1 password string password2 letmein string startcleartext quick brown fox jump lazy dog string ciphertext encryptstring startcleartext password1 string endcleartext decryptstring ciphertext password2 exception throw question expect would think decrypt wrong password would result nonsense output rather exception
758,c# .net,browse directory c# browse directory c# browse directory c# present control user allow himher select directory seem native .net control
759,.net,file upload via web service file upload via web service file upload via web service possible upload file client computer server web service client run anything native desktop app thin ajax client
760,performance .net,.net empty method call optimize .net empty method call optimize .net empty method call optimize give empty method body jit optimize call know c# compiler win would go find tool use look since sure ask reason empty method preprocessor directive chris make sense could optimize call method method would still exist static call could remove least inlined jon tell language compiler anything think need run dll ngen look assembly
761,windows,general consensus support windows 2000 general consensus support windows 2000 general consensus support windows 2000 general consensus support windows 2000 software distribution people support windows xp sp2 new software development restrictive still
762,c# .net,return large result via webservice return large result via webservice return large result via webservice work web service moment potential return result could quite large 5mb perfectly valid set data large web service call either sync async wonder people thoughts follow connection lose entire resultset regenerate send way sort resume connection lose reset send result set large even appropriate would better implement sort page resultset generate store server client download chunk resultset smaller amount re-assemble set end
763,asp.net c#,impersonate active directory user powershell impersonate active directory user powershell impersonate active directory user powershell try run powershell command web interface aspnetc order create mailboxesetc exchange 2007 run page use visual studio cassini page load correctly however run iis v51 get error unknown user name bad password biggest problem notice powershell log aspnet instead active directory account force powershell session authenticate another active directory account basically script far look something like runspaceconfiguration rc runspaceconfigurationcreate pssnapinexception snapex null rcaddpssnapin microsoftexchangemanagementpowershelladmin snapex runspace runspace runspacefactorycreaterunspace rc runspaceopen pipeline pipeline runspacecreatepipeline use pipeline pipelinecommandsaddscript get-mailbox -identity username pipelinecommandsadd out-string collectionpsobject result pipelineinvoke pipelineerror null amp pipelineerrorcount 0 foreach object item pipelineerrorreadtoend resultstring error itemtostring n runspaceclose foreach psobject obj result resultstring objtostring return resultstring
764,html,create browser-compatible hang indent style css span create browser-compatible hang indent style css span create browser-compatible hang indent style css span thing find hang text-indent -3em margin-left 3em way work put text paragraph cause horribly unsightly extra line much rather span class hang span type thing also look way indent single-level hang use paragraph stack indentions work
765,xml,much extra overhead generate send file web service byte array much extra overhead generate send file web service byte array much extra overhead generate send file web service byte array question answer show send file byte array xml web service much overhead generate use method file transfer assume data look something like xml version 10 encode utf-8 bytes byte16byte byte28byte byte127byte bytes format correct bytes must first convert utf-8 character character allocate 8 bytes bytes store base 10 hex binary character much larger file appear send due xml data character encode compression build web service
766,language-agnostic,singletons good design crutch singletons good design crutch singletons good design crutch singletons hotly debate design pattern interest stack overflow community think please provide reason opinions singletons lazy programmers fairly good article issue although use singletons scientificninjacom performant-singletons anyone good article maybe support singletons
767,c++,inheritance polymorphism - ease use vs purity inheritance polymorphism - ease use vs purity inheritance polymorphism - ease use vs purity project team use object list perform mass operations set data process similar way particular different object would ideally act would easily achieve polymorphism problem inheritance imply relationship rather relationship example several object damage counter make easy use object list polymorphism could use - except would imply relationship true person damage counter solution think member class return proper object type implicitly cast instead rely inheritance would better forgo ideal exchange ease program edit specific use c++ use polymorphism would allow different object act sense derive class could reside within single list operate upon virtual function base class use interface imitate via inheritance seem like solution would use
768,svn,use good alternative team system use good alternative team system use good alternative team system would like gauge solutions people put place get team system functionality know team system pricey us know offer small team edition five license msdn subscription team bigger five want use team system
769,database .net,best .net solution frequently change database best .net solution frequently change database best .net solution frequently change database currently architecting small crud applicaton database huge mess change frequently course next 6 months year would recommend data layer 1 orm one 2 linq2sql 3 store procedures 4 parametrized query really need solution dynamic enough fast easy replace table adddelete columns frequently note much experience orm little subsonic generally tend use store procedures maybe would way go would love learn ling2sql nhibernate either would allow situation describe
770,.net,sn.exe fail access deny error message sn.exe fail access deny error message sn.exe fail access deny error message get access deny error message use strong name tool create new key sign .net assembly work fine windows xp machine work vista machine ps c usersbriandevprojectsbelibbelib sn -k keypairsnk microsoft r .net framework strong name utility version 35210228 copyright c microsoft corporation right reserve fail generate strong name key pair -- access deny cause problem fix run powershell command prompt administrator find first place look get use user access control turn user access control yes try run ps regular command prompt administrator error message come
771,mysql php,get php mysql work iis 70 get php mysql work iis 70 get php mysql work iis 70 okay look internet good solution get php mysql work iis70 nearly impossible try many time give vain please please help link great step-by-step tutorial add php mysql iis70 scratch php mysql essential instal cms
772,asp.net c#,asp.net mvc route map asp.net mvc route map asp.net mvc route map new mvc asp.net rout try map aspx controller call pagecontroller routesmaproute page name aspx new controller page action index id code map aspx pagecontroller run type aspx page get follow error controller path pageaspx could find implement icontroller interface parameter name controllertype something
773,java,determine ip routergateway java determine ip routergateway java determine ip routergateway java determine ip routergateway java get ip easily enough get internet ip use service website determine gateway ip somewhat easy .net know way around java
774,asp.net,log errors exceptions asp.net apps log errors exceptions asp.net apps log errors exceptions asp.net apps look best way log errors asp.net application want able receive email errors occur application detail information exception current request company use errormailer catch everything globalasax applicationerror ok flexible configurable switch recently nlog much configurable define different target errors filter buffer try yet good improvement discover lately whole namespace .net framework purpose systemwebmanagement configure healthmonitoring section webconfig ever work .net health monitor solution error log
775,html,best way upload file via http post web form best way upload file via http post web form best way upload file via http post web form basically something better input type file name myfile size 50 first browse button look different every browser unlike submit button form come hack-y way style secondly progress indicator show much file upload usually implement kind client-side way disable multiple submit eg change submit button disable button show form submit please wait flash giant warn good solutions use flash java yaakov product look exactly look cost 1000 specifically aspnet open source project cover similar functionality
776,.net c#,unit test timer base application unit test timer base application unit test timer base application currently write simple timer base mini app c# perform action n time every k second try adopt test drive development style goal unit test part app question good way unit test timer base class problem see big risk test take uncomfortably long execute since must wait long desire action happen especially one want realistic data second instead use minimal time resolution allow framework 1 ms use mock object action register number time action call action take practically time
777,c# .net,call base constructor c# call base constructor c# call base constructor c# inherit base class want pass something constructor inherit class constructor base class example inherit exception class want something like class myexceptionclass exception public myexceptionclass string message string extrainfo fall apart base message basically want able pass string message base exception class
778,.net,worry obfuscate .net code worry obfuscate .net code worry obfuscate .net code sure many readers use lutz roeder .net reflector decompile .net code amaze accurately source code could recontructed compile assemblies interest hear many use obfuscation sort products sure much important issue say .net application offer download internet oppose something build bespeak particular client
779,java,obfuscate commercial java code obfuscate commercial java code obfuscate commercial java code wonder anyone use commercialfree java obfuscators commercial product know one project actually obfuscate step ant build step release obfuscate obfuscate really way protect code better feel developersmanagers edit ok exact point obfuscate protect ip algorithms work put product win obfuscate security reason feel right talk protect applications code competitors staffan good point reason stay away chain code flow change make impossible jvm efficiently optimize code effect actually degrade performance application
780,windows,windows form thread events - listbox update promptly progressbar experience huge delay windows form thread events - listbox update promptly progressbar experience huge delay windows form thread events - listbox update promptly progressbar experience huge delay team create new recruitment workflow system replace old one task migrate old data new schema decide create small windows form project schema radically different straight tsql script adequate solution main seal class importcontroller work declare follow delegate event public delegate void importprogresseventhandler object sender importprogresseventargs e public static event importprogresseventhandler importprogressevent main window start static method class use new thread thread dataprocessingthread new thread new parameterizedthreadstart importcontrollerimportdata dataprocessingthreadname data importer data process thread dataprocessingthreadstart settings importprogressevent args carry string message max int value progress bar current progress int value windows form subcribes event importcontrollerimportprogressevent new importcontrollerimportprogresseventhandler importcontrollerimportprogressevent respond event manner use delegate private delegate void taskcompleteduidelegate string completedtask int currentprogress int progressmax private void importcontrollerimportprogressevent object sender importprogresseventargs e thisinvoke new taskcompleteduidelegate thisdisplaycompletedtask ecompletedtask ecurrentprogress eprogressmax finally progress bar listbox update private void displaycompletedtask string completedtask int currentprogress int progressmax string items completedtasksplit new string environmentnewline stringsplitoptionsremoveemptyentries foreach string item items thislsttasksitemsadd item currentprogress 0 amp progressmax 0 amp currentprogress progressmax thisimportprogressbarmaximum progressmax thisimportprogressbarvalue currentprogress thing listbox seem update quickly progress bar never move batch almost complete anyway give
781,svn,configure visualsvn server use svn instead svn configure visualsvn server use svn instead svn configure visualsvn server use svn instead svn problem build server check modifications source control despite recognize change trace control folder sure real name exist work build use svn clear work folder force new complete checkout notice control folder svn look like originally integration routines check code use svn use svn svnexe use integration visualsvn server set use svn original work copy use svn know - ever ever use visualsvn server change setup tortoisesvn use svn follow recommendation work better visual studio also instal tortoisesvn build server case ever need could cause also really necessary msbuild microsoft recommend visual studio
782,.net c#,filenotfoundexception mscorlibxmlserializersdll exist filenotfoundexception mscorlibxmlserializersdll exist filenotfoundexception mscorlibxmlserializersdll exist use xmlserializer deserialize particular type mscorelibdll xmlserializer ser new xmlserializer typeof .net type system return .net type system serdeserialize new stringreader xmlvalue throw catch filenotfoundexception assembly load could load file assembly mscorlibxmlserializers version2000 cultureneutral publickeytokenb77a5c561934e089 one dependencies system cannot find file specify fusionlog pre-bind state information log user log displayname mscorlibxmlserializers version2000 cultureneutral publickeytokenb77a5c561934e089 processorarchitecturex86 fully-specified log appbase filec localdir log initial privatepath null call assembly systemxml version2000 cultureneutral publickeytokenb77a5c561934e089 log bind start default load context log use application configuration file c localdirbindebugappnamevshostexeconfig log use machine configuration file c windowsmicrosoftnetframeworkv2050727configmachineconfig log post-policy reference mscorlibxmlserializers version2000 cultureneutral publickeytokenb77a5c561934e089 processorarchitecturex86 log attempt download new url filec localdirbindebugmscorlibxmlserializersdll log attempt download new url filec localdirbindebugmscorlibxmlserializersmscorlibxmlserializersdll log attempt download new url filec localdirbindebugmscorlibxmlserializersexe log attempt download new url filec localdirbindebugmscorlibxmlserializersmscorlibxmlserializersexe far know mscorlibxmlserializersdll think dll name bee auto generate .net look serializer option create myapplicationxmlserializersdll compile optimise serializations assume part framework check problem appear cause delay load application - seem hang second point ideas avoid speed
783,language-agnostic,access global application settings access global application settings access global application settings database application currently work store sort settings database settings customize certain business rule also stuff app contain object specifically certain task eg certain complicate calculation non-ui object unit-tested also need access lot global settings way implement right give object properties fill application controller runtime test create object test fill value test database work better case much better object need global settings object --- course effectively make unit test impossible disadvantage sometimes need set dozen properties need let properties percolate sub-objects general question provide access global application settings project without need global variables still able unit test code must problem solve 100 time note much experience programmer notice love learn course already research topic really look first-hand experience
784,database,worst database accident happen production worst database accident happen production worst database accident happen production example update row customer table forget add clause like realize report coworkers customers lessons learn
785,.net,update database schema entity framework update database schema entity framework update database schema entity framework instal vs sp1 play around entity framework create schema exist database try basic operations go well except database schema update change database every basic way add new table delete table add new column exist table delete column exist table change type exist column first three go well type change column deletion follow database change way make work designer support moment find relate material yet still search
786,xml java,application configuration file application configuration file application configuration file ok want start holy-war process try consolidate way handle application configuration file struggle make decision best approach take moment every application distribute use ad-hoc configuration file whether property file ini style xml json internal use moment code java moment look apache commons config find quite verbose also look xmlbeans seem like lot faffing around also feel though push towards xml format clients colleagues apprehensive try something else understand client perspective everybody hear xml end day use right tool job format libraries people use production systems days anyone else try avoid angle bracket tax edit really need cross platform solution linux windows solaris etc choice library use interface configuration file important choice format
787,svn .net,svn revision version .net assembly w ccnet svn revision version .net assembly w ccnet svn revision version .net assembly w ccnet way include svn repository revision number version string .net assembly something like majorminorsvnrev see mention something like ccnet although asp.net actually way without extra software similar things cc use build batch script accomplish read version number script write file call verh everytime something effect define majorver 4 define minorver 23 define sourcever 965 would use define generate version string something like possible .net
788,asp.net,problem databinding asp.net ajax toolkit maskededitextender problem databinding asp.net ajax toolkit maskededitextender problem databinding asp.net ajax toolkit maskededitextender database contain date use maskededitextender mee maskededitvalidator make sure date appropriate however want admins able go change data specifically date necessary mee field pre-populate database value data show page try use bind initialvalue property populate textbox thank
789,visual-studio,create visual studio templates windows category create visual studio templates windows category create visual studio templates windows category create template visual studio 2008 currently show file-new project-visual c however really specific visual cwindows work get show windows category general visual c#
790,asp.net performance,consider n2 cms worry performance justify consider n2 cms worry performance justify consider n2 cms worry performance justify hy anyone work n2 content management system httpwwwcodeplexcomn2 yes perform performance wise heavy load seem pretty simple easy use adrian
791,asp.net .net,remove nod sitemapnodecollection remove nod sitemapnodecollection remove nod sitemapnodecollection get repeater list websitemap child page asp.net page datasource sitemapnodecollection want registration form page show dim children sitemapnodecollection sitemapcurrentnodechildnodes remove registration page collection n sitemapnode sitemapcurrentnodechildnodes nurl registrationaspx childrenremove n end next repeatersubordinatepagesdatasource children sitemapnodecollectionremove method throw notsupportedexception collection read-only remove node collection databinding repeater
792,c#,serialize c# type object serialize c# type object serialize c# type object try serialize type object follow way type mytype typeof stringbuilder var serializer new xmlserializer typeof type textwriter writer new stringwriter serializerserialize writer mytype call serialize throw follow exception type systemtextstringbuilder expect use xmlinclude soapinclude attribute specify type know statically way serialize type object note try serialize stringbuilder type object contain metadata stringbuilder class
793,c++,wfopen equivalent mac os x wfopen equivalent mac os x wfopen equivalent mac os x look equivalent windows wfopen mac os x idea need order port windows library use wchar file interface intend cross-platform library unable rely client application get file path give library
794,php windows,php curl windows install specify module could find php curl windows install specify module could find php curl windows install specify module could find run php 523 windows 2000 server iis 5 try get curl work phpini file line extensiondir f phpext later extensionphpcurldll file f phpextphpcurldll exist try run php script get error log php warn php startup unable load dynamic library f phpext phpcurldll - specify module could find unknown line 0
795,.net,dispose class .net dispose class .net dispose class .net .net garbage collector eventually free memory want memory back immediately code need use class myclass call myclassdispose free use space variables object myclass
796,sql,anyone success unit test sql store procedures anyone success unit test sql store procedures anyone success unit test sql store procedures ’ find unit test ’ write cc code really pay still thousands line business logic store procedures really get test anger product roll large number users make worse store procedures end long performance hit pass temporary table sps prevent us refactoring make code simpler make several attempt build unit test around key store procedures primarily test performance find set test data test really hard example end copy around test databases addition test end really sensitive change even smallest change store proc table require large amount change test many build break due database test fail intermittently ’ pull build process main part question anyone ever successfully write unit test store procedures second part question whether unit test would beis easier linq think rather set table test data could simply create collection test object test linq code “linq object ” situation totally new linq ’ know would even work
797,.net,attach changeevent handler inherit dependency property attach changeevent handler inherit dependency property attach changeevent handler inherit dependency property would attach propertychanged callback property inherit like class dependencyproperty prop class b propaddlistener propertychangecallback
798,asp.net,.net virtualpathproviders pre-compilation .net virtualpathproviders pre-compilation .net virtualpathproviders pre-compilation work application quite heavily rely virtualpathproviders aspnet come put thing live server demonstrate appear virtualpathproviders simply work site pre-compiled look workaround post httpsunalicom20080109virtualpathprovider-in-precompiled-web-sites far able get work either well - work fine visual studio web development server - iis box - anybody information problem fix .net v35 currently build v20
799,asp.net,foss asp.net session replication solution foss asp.net session replication solution foss asp.net session replication solution search little success freeopensource session cluster replication solution aspnet run across usual suspect indexus sharedcache memcached however limitations indexus - immature stub session interface implementation otherwise great cache solution though memcached - little replicationfailover support without go db backend several sfnet project - abort early stag nothing appear traction one seem go commercial microsoft velocity - oss seem nice unfortunately see ctp1 support failover clear roadmap one fear one could fall ether like many ms dev project fairly use java world kind take grant many solutions problems available foss world suitable alternatives available .net world
800,asp.net,asp.net application throw threadabortexception asp.net application throw threadabortexception asp.net application throw threadabortexception self-explanatory question thing bubble try catch even nothing wrong show log hundreds time know newb question site gonna get search rank draw newbs ask
801,c,get directory list c get directory list c get directory list c scan directory folders file c need cross-platform
802,xml,pretty print xml file emacs pretty print xml file emacs pretty print xml file emacs use emacs edit xml file nxml-mode file generate machine pretty format tag search pretty print entire file indentation save able find automatic way way atleast editor linux
803,xml,people still create rss feed people still create rss feed people still create rss feed instead use atom syndication format atom well-defined general-purpose xml syndication format rss fracture four different versions major fee readers support atom long remember use prevalent worst sit provide feed format - point update 18 august interestingly site use atom feed rather rss
804,sql-server,convert number get datepart name day convert number get datepart name day convert number get datepart name day quick one-liner call datepart sql server get back name day instead number select datepart dw getdate return 1-7 sunday 1 would like sunday instead 1
805,php performance,php performance php performance php performance increase performancespeed php script without instal software servers
806,sql-server,trace info process cube ssas trace info process cube ssas trace info process cube ssas process cube visual studio 2005 get follow message process succeed trace information still transfer want wait information arrive press stop trace info display cube process ok little bite annoy ideas access cub via web server
807,xml python,use xml catalog python lxml use xml catalog python lxml use xml catalog python lxml way parse xml document use lxml validate document dtd use external catalog file need able work fix attribute define document ’ dtd
808,python,check exception throw doctest python check exception throw doctest python check exception throw doctest python possible write doctest unit test check exception raise example function foo x suppose raise exception x 0 would write doctest
809,.net xml,systemxml use msxml systemxml use msxml systemxml use msxml develop c# application use handful xml file class systemxml coworker insist add msxml6 redistributable install along .net framework think .net framework use need msxml anyway well aware use msxml .net support suppose theoretically possible systemxml wrap msxml low level find anything definitive .net implementation neither find anything suggest need msxml help settle debate systemxml use msxml
810,windows c++,windowsc determine share name associate share drive windowsc determine share name associate share drive windowsc determine share name associate share drive let say drive c want find share share name eg c find share use netsharecheck map drive share name think netsharegetinfo would look like take share name local drive name input
811,asp.net,profile provider build web apps profile provider build web apps profile provider build web apps create asp.net web file project direct access profile information webconfig file convert web app use profilecommon etc jump whole bunch hoop get web app work profile provider build asp.net web app project like web file project
812,mysql sql,specify port number emacs sql-mysql specify port number emacs sql-mysql specify port number emacs sql-mysql use emacs sql interactive mode talk mysql db server get enjoy developer set another db new non-default port number know access use sql-mysql specify port number try connect database would even better emacs prompt port number use default specify chance
813,c++,easiest way parse ini file c++ easiest way parse ini file c++ easiest way parse ini file c++ try parse ini file use c tip best way achieve use windows api tool ini file process totally unfamiliar open-source solution attempt parse manually
814,sql sql-server,build audit system ms access frontend sql server backend build audit system ms access frontend sql server backend build audit system ms access frontend sql server backend basically build app company need build use ms access need build sql server draw plan hard time figure way handle audit system since use internally win even able touch db outside build use login system program use user already log internal network via active directory know use system detect automatically name active directory user permissions one db table decide cannot actual audit table 3 columns design may change question matter active directory user time additiondeletionedit change question handle ideally know use trigger impossible database update without audit log however know could grab active directory user way alternate would code directly access source whenever something change run insert statement obviously flaw something happen access database touch something else log audit advice examples article may help would greatly appreciate
815,.net,upload binary data silverlight 2b2 upload binary data silverlight 2b2 upload binary data silverlight 2b2 try upload file stream data web server cant find decent way try webclient webrequest problems webclient nice easy get notification asynchronous upload complete uploadprogresschanged event doesnt get call back anything useful alternative convert binary data string use uploadstringasync least get uploadstringcompleted problem need lot ram big file encode data upload one go httpwebrequest bite complicate still need problem get even though call background thread supposedly still seem block ui whole browser upload complete doesnt seem quite right normal .net appropriate webclient methods onuploaddatacompleted progress arent available silverlight .net big omission think anyone solutions need upload multiple binary file preferrably progress need perform action file complete upload look forward help
816,php mysql,variable parameterresult bind prepare statements variable parameterresult bind prepare statements variable parameterresult bind prepare statements project wrap write implement object-relational map solution php doubters dreamers cry earth relax -- find way make late static bind work -- work around best way possibly anyway currently use prepare statements query come way pass variable number arguments bindparams bindresult methods need support variable number arguments ask superclass model think solution hacked-up php activerecord wannabe query define find method example know many parameters would need bind already think build argument list pass string eval like solution much -- rather implement security check pass statements anyone suggestions success stories get help solve first problem perhaps tackle bind result set something suspect difficult least resource-intensive involve initial query determine table structure
817,asp.net,create listview dynamic groupitemcount create listview dynamic groupitemcount create listview dynamic groupitemcount use new asp.net listview control list database items group together section base one columns like region1 store1 store2 store3 region2 store4 region3 store5 store6 possible listview groupitemtemplate every example see use static number items per group win work misunderstand purpose groupitem
818,php,efficient jpeg image resize php efficient jpeg image resize php efficient jpeg image resize php efficient way resize large image php currently use gd function imagecopyresampled take high resolution image cleanly resize size web view roughly 700 pixels wide 700 pixels tall work great small 2 mb photos entire resize operation take less second server however site eventually service photographers may upload image 10 mb size image 5000x4000 pixels size kind resize operation large image tend increase memory usage large margin larger image spike memory usage script past 80 mb way make resize operation efficient use alternate image library imagemagick right resize code look something like function makethumbnail sourcefile endfile thumbwidth thumbheight quality take sourcefile pathtoimagejpg make thumbnail place endfile pathtothumbjpg load image get image size img imagecreatefromjpeg sourcefile width imagesx img height imagesy img width height newwidth thumbwidth divisor width thumbwidth newheight floor height divisor else newheight thumbheight divisor height thumbheight newwidth floor width divisor create new temporary image tmpimg imagecreatetruecolor newwidth newheight copy resize old image new image imagecopyresampled tmpimg img 0 0 0 0 newwidth newheight width height save thumbnail file imagejpeg tmpimg endfile quality release memory imagedestroy tmpimg imagedestroy img
